sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.5,0.7,-4.0,0.9252768978476524,0.02715333305988316,0.7449258789420128,0.017236093829170476,0.581537302583456,0.042219595089068994
0.001,1.0,0.25,0.5,0.75,-4.0,0.9115914702415466,0.016386288629113642,0.726384200155735,0.024294130501058043,0.5560291074216366,0.05270196542186859
0.001,1.0,0.25,0.5,0.6,-3.5,0.9362170770764351,0.019878833087188425,0.7764003947377205,0.018756248002855008,0.6332472413778305,0.01676078849344017
0.001,1.0,0.25,0.5,0.65,-3.5,0.931864894926548,0.01691105044025955,0.7673196494579315,0.02260162938429548,0.6171434819698334,0.02669720643828768
0.001,1.0,0.25,0.5,0.7,-3.5,0.9250023663043976,0.023504380826921842,0.7553645297884941,0.01697406281533267,0.61188954859972,0.019371988946788217
0.001,1.0,0.25,0.5,0.75,-3.5,0.9337669238448143,0.021304198638317753,0.758962981402874,0.022701685153401773,0.6066009625792503,0.03520323895138053
0.001,1.0,0.25,0.5,0.8,-3.5,0.922186367213726,0.03166174905406243,0.7590819299221039,0.02316048513197472,0.5879270955920219,0.036950274032114254
0.001,1.0,0.25,0.5,0.85,-3.5,0.9296382740139961,0.025304458034105786,0.7558877766132355,0.01519295014699961,0.5931686013936996,0.02931436331235877
0.001,1.0,0.25,0.5,0.9,-3.5,0.9254560619592667,0.033093082647023556,0.7320867255330086,0.017629976822062698,0.5640596598386765,0.03458216875398147
0.001,1.0,0.25,0.5,0.6,-3.0,0.9333464950323105,0.023707204825004987,0.7977336794137955,0.006472392528183838,0.6663865968585014,0.021099632253066908
0.001,1.0,0.25,0.5,0.65,-3.0,0.9491588175296783,0.013186261895724572,0.7940515875816345,0.010187848888838395,0.6512158960103989,0.022022108242184424
0.001,1.0,0.25,0.5,0.7,-3.0,0.9352319166064262,0.013082219740762532,0.783408559858799,0.020389554487044097,0.6337636411190033,0.021357898878132796
0.001,1.0,0.25,0.5,0.75,-3.0,0.9420273154973984,0.019342989673806998,0.7877462282776833,0.014359974226903402,0.6362964734435081,0.018597333948437857
0.001,1.0,0.25,0.5,0.8,-3.0,0.941031888127327,0.021820643122106194,0.770587220788002,0.01618925663223147,0.6161597147583961,0.021185989737732443
0.001,1.0,0.25,0.5,0.85,-3.0,0.9237582683563232,0.016114805227215943,0.7643128857016563,0.010939806203043533,0.6241157874464989,0.02015351005200792
0.001,1.0,0.25,0.5,0.6,-2.5,0.9465578868985176,0.016586640755745535,0.8189862295985222,0.010751555416509762,0.6944853737950325,0.0156181478942845
0.001,1.0,0.25,0.5,0.65,-2.5,0.947087325155735,0.013358688449359005,0.8108758926391602,0.014921713659749609,0.6809482201933861,0.016166421607958996
0.001,1.0,0.25,0.5,0.7,-2.5,0.9252211526036263,0.010790990193748217,0.8084680214524269,0.015417007911014876,0.6768027395009995,0.02235367030581507
0.001,1.0,0.25,0.5,0.75,-2.5,0.946786180138588,0.018393967317891325,0.8016738295555115,0.009382259642488225,0.6771072670817375,0.011190806907680078
0.001,1.0,0.25,0.5,0.8,-2.5,0.9512294828891754,0.012663849442409086,0.803753986954689,0.016557250939005813,0.6693465635180473,0.018276450950985314
0.001,1.0,0.25,0.5,0.85,-2.5,0.9476049244403839,0.012727087197795589,0.8023251295089722,0.015126422421869989,0.667800672352314,0.018103400090733895
0.001,1.0,0.25,0.5,0.9,-2.5,0.9350372031331062,0.016424721959921732,0.7976059839129448,0.016041564111452283,0.6555425822734833,0.015093673350390678
0.001,1.0,0.25,0.5,0.6,-2.0,0.959517352283001,0.015476257663712958,0.830123633146286,0.011334007584251068,0.6988319009542465,0.013473365602968171
0.001,1.0,0.25,0.5,0.65,-2.0,0.9423326179385185,0.019755095871457545,0.8227740600705147,0.013778446477221384,0.693756714463234,0.01511781511836373
0.001,1.0,0.25,0.5,0.7,-2.0,0.9587879031896591,0.022168707193986593,0.8282617032527924,0.010789098349849615,0.6992044225335121,0.013150258529917079
0.001,1.0,0.25,0.5,0.8,-2.0,0.9417409524321556,0.020391983198631992,0.8218261748552322,0.017537799901235253,0.6958561167120934,0.018344845557602473
0.001,1.0,0.25,0.5,0.85,-2.0,0.9474140927195549,0.00972717730418,0.8236833363771439,0.011484248779845416,0.690681517124176,0.009956018418557939
0.001,1.0,0.25,0.5,0.9,-2.0,0.9516253247857094,0.011827131807342316,0.8240031972527504,0.00770211877343073,0.6986480951309204,0.011134600667379917
0.001,1.0,0.25,0.5,0.95,-2.0,0.957410417497158,0.012417991293868353,0.8204178810119629,0.012931312682211087,0.688908688724041,0.013043453800384843
0.001,1.0,0.25,0.5,1.0,-2.0,0.9379828199744225,0.007754113193789519,0.8143591359257698,0.010438469022441868,0.6870623901486397,0.013515629308903395
0.001,1.0,0.25,0.5,0.6,-1.5,0.952094554901123,0.018373488944023263,0.8281257301568985,0.007832676258761911,0.6983472108840942,0.014409819191810072
0.001,1.0,0.25,0.5,0.65,-1.5,0.9486071765422821,0.010523048550851156,0.8308205455541611,0.01320681886993125,0.7003500610589981,0.013338030789918486
0.001,1.0,0.25,0.5,0.7,-1.5,0.9538894444704056,0.013959812752868247,0.8288753852248192,0.011100206910430965,0.708241194486618,0.017083789554429546
0.001,1.0,0.25,0.5,0.75,-1.5,0.957420602440834,0.01479031632326443,0.8287344947457314,0.010053799931586907,0.7010968774557114,0.012414122768509318
0.001,1.0,0.25,0.5,0.8,-1.5,0.9608686864376068,0.01552800186994473,0.8272062987089157,0.009533817807008547,0.7090823799371719,0.01638771847003744
0.001,1.0,0.25,0.5,0.85,-1.5,0.959258072078228,0.019237472237851227,0.8310740292072296,0.0091454276009707,0.697986513376236,0.009314711207608893
0.001,1.0,0.25,0.5,0.9,-1.5,0.9583019614219666,0.008109219641760233,0.8309351876378059,0.010028340624801929,0.7068324908614159,0.014011725400536686
0.001,1.0,0.25,0.5,0.95,-1.5,0.9582616537809372,0.015287328184062806,0.8279408738017082,0.013161969586981877,0.6992286816239357,0.011680653388607484
0.001,1.0,0.25,0.5,1.0,-1.5,0.9570673182606697,0.016812511118601832,0.8342884853482246,0.005452535819829571,0.7043285071849823,0.01155552032977126
0.001,1.0,0.25,1.0,0.6,-2.0,0.9536515474319458,0.01705750791628145,0.790685772895813,0.014182372397952942,0.653625600039959,0.016307063635939235
